"ativo";"software";"risco";"pendencia";"proxima_acao"
"Planeja Brasil - Samyr";"Landing Page";"Alto";"Risco Alto";"Validar com Bruno/Marketing o fluxo n8n vinculado ao source UC_UI1PIS.

Confirmar se, após receber o lead, o n8n grava os dados em Google Sheets, Bitrix, HubSpot, RD Station, e-mail ou outro destino operacional.

Mapear nome da planilha, aba, campos salvos, responsável pelo tratamento dos leads e eventuais etapas comerciais.

Avaliar captura estruturada de UTMs no front-end e implementação de fallback para reduzir risco de perda de leads."
"Planeja Brasil - Tráfego Pago";"Landing Page";"Alto";"Risco Alto";"Registrar separadamente o source 201, o webhook n8n, o Meta Pixel e o GTM. Validar no n8n se os leads estão chegando corretamente com source 201 e confirmar destino final do fluxo."
"Profissão de Elite - Cidades do Brasil";"Landing Page";"Alto";"Risco Alto";"Realizar teste real de lead na LP Profissão de Elite e confirmar se o cadastro aparece na planilha Google Sheets informada.

Validar qual camada faz o envio para a planilha: formulário direto, worker, webhook, n8n, Google Apps Script, backend ou outro conector.

Confirmar quais campos estão sendo gravados na planilha.

Validar se source Carreiras, pageUrl, UTMs e data de envio estão sendo registrados.

Definir quem acompanha a planilha e garantir visibilidade operacional para Jorge e/ou Samyr.

Confirmar se existe evento de conversão no Meta Pixel após o envio real.

Após teste confirmado, atualizar o status para Validado e revisar o risco operacional."
"Convite Smart Carreiras - Samyr";"Lovable";"Crítico";"Risco Crítico";"A validar"
"Convite Smart Carreiras - Samyr";"Lovable";"Crítico";"Quem recebe o código a validar";"A validar"
"Indique um Bancário e Ganhe até 5 Mil";"Lovable";"Crítico";"Quem recebe o código a validar";"Aguardar validação da Amanda / Jurídico sobre o domínio público da landing page.

Auditar o projeto na Lovable para identificar campos do formulário, endpoint, webhook, destino dos leads, tracking instalado, Pixel, GTM, GA4, HubSpot, RD Station, Bitrix, n8n ou outra integração.

Após validação jurídica e técnica, atualizar domínio público, status, campos do formulário, tracking e destino dos leads no painel Growth Ops."
"Lovable";"Lovable";"Crítico";"Risco Crítico";"A validar"
"Lovable";"Lovable";"Crítico";"Quem recebe o código a validar";"A validar"
"Smart Carreiras";"Lovable";"Crítico";"Risco Crítico";"Configurar o disparo do evento Meta Lead ou CompleteRegistration após o envio bem-sucedido do formulário, antes do redirecionamento para WhatsApp.

Validar o carregamento do Pixel 328736425190714 no domínio público https://smartcarreiras.com.br/.

Confirmar se será implementado GTM e GA4 para governança de tracking.

Validar propriedades do formulário no HubSpot, especialmente pl__custodia.

Após validar tracking, formulário e recebimento dos leads no HubSpot, atualizar o status para Validado."
"Smart Carreiras";"Lovable";"Crítico";"Quem recebe o código a validar";"Configurar o disparo do evento Meta Lead ou CompleteRegistration após o envio bem-sucedido do formulário, antes do redirecionamento para WhatsApp.

Validar o carregamento do Pixel 328736425190714 no domínio público https://smartcarreiras.com.br/.

Confirmar se será implementado GTM e GA4 para governança de tracking.

Validar propriedades do formulário no HubSpot, especialmente pl__custodia.

Após validar tracking, formulário e recebimento dos leads no HubSpot, atualizar o status para Validado."
"Make";"Make";"Crítico";"Risco Crítico";"A validar"
"Make";"Make";"Crítico";"Quem recebe o código a validar";"A validar"
"Make";"Make";"Alto";"Sem segundo administrador";"A validar"
"Meta Pixel - Smart Carreiras";"Meta Pixel";"Crítico";"Quem recebe o código a validar";"Adicionar o disparo do evento Meta Lead ou CompleteRegistration após o envio bem-sucedido do formulário, antes do redirecionamento para WhatsApp.

Validar no Meta Pixel Helper e no Gerenciador de Eventos da Meta se o Pixel 328736425190714 carrega corretamente no domínio https://smartcarreiras.com.br/.

Confirmar se o evento PageView está ativo e testar o disparo do evento Lead após submissão do formulário.

Avaliar implementação futura via GTM e GA4 para melhorar governança de tracking.

Após validação do evento de conversão, atualizar o status do registro para Validado."
"Webhook n8n - Planeja Brasil - Orgânico";"n8n";"Alto";"Risco Alto";"Validar no n8n se os leads com source UC_QZ91TG estão chegando corretamente e confirmar o destino final do fluxo. Avaliar fallback, retry e proteção anti-spam."
"Webhook n8n - Planeja Brasil - Tráfego Pago";"n8n";"Alto";"Risco Alto";"Validar no n8n o destino final dos leads com source 201 e avaliar proteção contra spam, retry, fallback e persistência em caso de falha."
"Claude";"Outro";"Alto";"Risco Alto";"Remover a autenticação por SMS vinculada ao telefone de Eduardo Alves.

Transferir a custódia do 2FA para um responsável oficial da área gestora ou para um método corporativo controlado pela InvestSmart.

Validar segundo administrador, método de recuperação da conta e registrar nova custódia após a alteração."
"Claude";"Outro";"Médio";"Recuperação de acesso não validada";"Remover a autenticação por SMS vinculada ao telefone de Eduardo Alves.

Transferir a custódia do 2FA para um responsável oficial da área gestora ou para um método corporativo controlado pela InvestSmart.

Validar segundo administrador, método de recuperação da conta e registrar nova custódia após a alteração."
"Página de obrigado universal investSmart";"RD STATION";"Crítico";"Quem recebe o código a validar";"A validar"
