"ativo";"software";"categoria";"responsavel";"area";"status";"url";"twofa";"metodo_2fa";"quem_recebe_codigo";"risco";"proxima_acao"
"Planeja Brasil";"Landing Page";"Landing Page / Planeja Brasil";"Marketing";"Marketing / Growth";"A validar";"https://planejamento-financeiro.investsmart.com.br/";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Realizar teste real de lead na LP Planeja Brasil e confirmar se o cadastro aparece na planilha Google Sheets informada.

Validar qual camada faz o envio para a planilha: n8n, Google Apps Script, webhook, worker, backend, conector externo ou outro fluxo.

Confirmar quais campos estão sendo gravados na planilha: nome, telefone, e-mail, respostas do formulário, identificador UC_QZ91TG, campanha, pageUrl, UTMs e data de envio.

Confirmar se Jorge e/ou Samyr possuem visibilidade desses leads por acesso à planilha ou outro canal operacional.

Validar se o n8n continua ativo no fluxo e se ele apenas grava no Google Sheets ou também encaminha para outro destino.

Com Marketing, confirmar tracking de conversão, captura de UTMs e evento de Lead no GTM/Meta Pixel.

Após teste confirmado, atualizar status para Validado e revisar o risco operacional."
"Planeja Brasil - Samyr";"Landing Page";"Landing Page / Planeja Brasil";"Marketing";"Marketing / Growth";"Validado";"https://seu-planejamento-financeiro.investsmart.com.br";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Validar com Bruno/Marketing o fluxo n8n vinculado ao source UC_UI1PIS.

Confirmar se, após receber o lead, o n8n grava os dados em Google Sheets, Bitrix, HubSpot, RD Station, e-mail ou outro destino operacional.

Mapear nome da planilha, aba, campos salvos, responsável pelo tratamento dos leads e eventuais etapas comerciais.

Avaliar captura estruturada de UTMs no front-end e implementação de fallback para reduzir risco de perda de leads."
"Planeja Brasil - Tráfego Pago";"Landing Page";"Landing Page / Planeja Brasil";"Marketing";"Marketing / Growth";"Validado";"https://planejamento-financeiro01.lovable.app";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Registrar separadamente o source 201, o webhook n8n, o Meta Pixel e o GTM. Validar no n8n se os leads estão chegando corretamente com source 201 e confirmar destino final do fluxo."
"Profissão de Elite - Cidades do Brasil";"Landing Page";"Landing Page / Smart Carreiras";"Marketing";"Marketing / Growth";"A validar";"https://profissao-elite.lovable.app";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Realizar teste real de lead na LP Profissão de Elite e confirmar se o cadastro aparece na planilha Google Sheets informada.

Validar qual camada faz o envio para a planilha: formulário direto, worker, webhook, n8n, Google Apps Script, backend ou outro conector.

Confirmar quais campos estão sendo gravados na planilha.

Validar se source Carreiras, pageUrl, UTMs e data de envio estão sendo registrados.

Definir quem acompanha a planilha e garantir visibilidade operacional para Jorge e/ou Samyr.

Confirmar se existe evento de conversão no Meta Pixel após o envio real.

Após teste confirmado, atualizar o status para Validado e revisar o risco operacional."
"Convite Smart Carreiras - Samyr";"Lovable";"Landing Page / Aquisição";"Marketing";"Marketing / Growth";"Validado";"https://convite.smartcarreiras.com.br/";"Não aplicável";"Não aplicável";"A validar";"Crítico";"A validar"
"Indique um Bancário e Ganhe até 5 Mil";"Lovable";"Landing Page / Aquisição";"Marketing";"Marketing / Growth";"A validar";"Aguardando validação jurídica do domínio";"Não aplicável";"Não aplicável";"A validar";"Baixo";"Aguardar validação da Amanda / Jurídico sobre o domínio público da landing page.

Auditar o projeto na Lovable para identificar campos do formulário, endpoint, webhook, destino dos leads, tracking instalado, Pixel, GTM, GA4, HubSpot, RD Station, Bitrix, n8n ou outra integração.

Após validação jurídica e técnica, atualizar domínio público, status, campos do formulário, tracking e destino dos leads no painel Growth Ops."
"Lovable";"Lovable";"Licença / Plataforma de Desenvolvimento";"Marketing";"Marketing";"Validado";"https://lovable.dev/";"Não aplicável";"Não aplicável";"A validar";"Crítico";"A validar"
"Smart Carreiras";"Lovable";"Landing Page / Aquisição";"Marketing";"Marketing / Growth";"Validado";"https://smartcarreiras.com.br/";"Não aplicável";"Não aplicável";"A validar";"Crítico";"Configurar o disparo do evento Meta Lead ou CompleteRegistration após o envio bem-sucedido do formulário, antes do redirecionamento para WhatsApp.

Validar o carregamento do Pixel 328736425190714 no domínio público https://smartcarreiras.com.br/.

Confirmar se será implementado GTM e GA4 para governança de tracking.

Validar propriedades do formulário no HubSpot, especialmente pl__custodia.

Após validar tracking, formulário e recebimento dos leads no HubSpot, atualizar o status para Validado."
"Make";"Make";"Automação / Integração";"Marketing";"Marketing";"Validado";"https://www.make.com";"Não aplicável";"Não aplicável";"A validar";"Crítico";"A validar"
"Meta Pixel - Planeja Brasil";"Meta Pixel";"Tracking / Meta Pixel";"Marketing";"Marketing / Growth";"Validado";"https://business.facebook.com/events_manager2";"Não aplicável";"Não aplicável";"Não aplicável";"Médio";"Validar no Gerenciador de Eventos se PageView e Lead estão chegando corretamente por domínio e confirmar se há deduplicação ou CAPI planejada."
"Meta Pixel - Smart Carreiras";"Meta Pixel";"Tracking / Mensuração";"Marketing";"Marketing / Growth";"Validado";"https://smartcarreiras.com.br/";"Não aplicável";"Não aplicável";"A validar";"Baixo";"Adicionar o disparo do evento Meta Lead ou CompleteRegistration após o envio bem-sucedido do formulário, antes do redirecionamento para WhatsApp.

Validar no Meta Pixel Helper e no Gerenciador de Eventos da Meta se o Pixel 328736425190714 carrega corretamente no domínio https://smartcarreiras.com.br/.

Confirmar se o evento PageView está ativo e testar o disparo do evento Lead após submissão do formulário.

Avaliar implementação futura via GTM e GA4 para melhorar governança de tracking.

Após validação do evento de conversão, atualizar o status do registro para Validado."
"Webhook n8n - Planeja Brasil - Orgânico";"n8n";"Webhook / Integração de Leads";"Marketing";"Marketing / Growth";"Validado";"https://n8n.investsmart.com.br";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Validar no n8n se os leads com source UC_QZ91TG estão chegando corretamente e confirmar o destino final do fluxo. Avaliar fallback, retry e proteção anti-spam."
"Webhook n8n - Planeja Brasil - Samyr";"n8n";"Webhook / Integração de Leads";"Marketing";"Marketing / Growth";"Validado";"https://n8n.investsmart.com.br";"Não aplicável";"Não aplicável";"Não aplicável";"Médio";"Validar no n8n se os leads com source UC_UI1PIS estão chegando corretamente e confirmar o destino final do fluxo."
"Webhook n8n - Planeja Brasil - Tráfego Pago";"n8n";"Webhook / Integração de Leads";"Marketing";"Marketing / Growth";"Validado";"https://n8n.investsmart.com.br";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Validar no n8n o destino final dos leads com source 201 e avaliar proteção contra spam, retry, fallback e persistência em caso de falha."
"Claude";"Outro";"IA";"Marketing";"Marketing";"Validado";"https://claude.ai/";"Sim";"SMS";"Eduardo Alves";"Alto";"Remover a autenticação por SMS vinculada ao telefone de Eduardo Alves.

Transferir a custódia do 2FA para um responsável oficial da área gestora ou para um método corporativo controlado pela InvestSmart.

Validar segundo administrador, método de recuperação da conta e registrar nova custódia após a alteração."
"Página de obrigado universal investSmart";"RD STATION";"Landing Page / Página de Obrigado";"Philipe Coutinho";"Marketing";"Validado";"https://materiais.investsmartxp.com.br/obrigado-is";"Não aplicável";"Não aplicável";"A validar";"Baixo";"A validar"
"Source - Planeja Brasil - Orgânico";"Source / Identificador";"Source / Origem de Lead";"Marketing";"Marketing / Growth";"Validado";"https://planejamento-financeiro.investsmart.com.br/";"Não aplicável";"Não aplicável";"Não aplicável";"Baixo";"Validar no n8n se os leads da landing page Planeja Brasil - Orgânico estão chegando corretamente com source UC_QZ91TG."
"Source - Planeja Brasil - Samyr";"Source / Identificador";"Source / Origem de Lead";"Marketing";"Marketing / Growth";"Validado";"https://seu-planejamento-financeiro.investsmart.com.br";"Não aplicável";"Não aplicável";"Não aplicável";"Baixo";"Validar no n8n se os leads da landing page Planeja Brasil - Samyr estão chegando corretamente com source UC_UI1PIS."
"Source - Planeja Brasil - Tráfego Pago";"Source / Identificador";"Source / Origem de Lead";"Marketing";"Marketing / Growth";"Validado";"https://planejamento-financeiro01.lovable.app";"Não aplicável";"Não aplicável";"Não aplicável";"Baixo";"Validar no n8n se os leads da landing page Planeja Brasil - Tráfego Pago estão chegando corretamente com source 201."
